iter	Passed	Remaining
0	2	260
1	4	220
2	5	191
3	7	185
4	9	187
5	11	184
6	13	183
7	15	183
8	17	181
9	19	172
10	20	166
11	21	158
12	24	160
13	25	159
14	27	157
15	28	151
16	30	149
17	32	147
18	34	145
19	35	142
20	38	144
21	40	144
22	42	142
23	44	140
24	46	138
25	48	137
26	50	135
27	51	132
28	53	131
29	55	129
30	57	126
31	58	125
32	60	123
33	62	121
34	64	118
35	66	118
36	69	117
37	70	115
38	72	113
39	74	111
40	75	108
41	77	107
42	79	105
43	81	104
44	83	102
45	85	100
46	87	98
47	89	96
48	90	94
49	92	92
50	95	91
51	97	89
52	99	88
53	101	86
54	103	84
55	105	82
56	107	81
57	109	79
58	111	77
59	113	75
60	114	73
61	116	71
62	118	69
63	120	67
64	122	66
65	125	64
66	127	62
67	129	61
68	132	59
69	136	58
70	138	56
71	141	54
72	143	53
73	146	51
74	148	49
75	150	47
76	153	45
77	155	43
78	157	41
79	159	39
80	161	37
81	163	35
82	165	33
83	167	31
84	169	29
85	170	27
86	172	25
87	174	23
88	176	21
89	178	19
90	180	17
91	182	15
92	184	13
93	186	11
94	188	9
95	190	7
96	193	5
97	196	4
98	199	2
99	202	0
